season,round,race_name,race_date,circuit_id,has_sprint
2014,1,Australian Grand Prix,2014-03-16,albert_park,False
2014,2,Malaysian Grand Prix,2014-03-30,sepang,False
2014,3,Bahrain Grand Prix,2014-04-06,bahrain,False
2014,4,Chinese Grand Prix,2014-04-20,shanghai,False
2014,5,Spanish Grand Prix,2014-05-11,catalunya,False
2014,6,Monaco Grand Prix,2014-05-25,monaco,False
2014,7,Canadian Grand Prix,2014-06-08,villeneuve,False
2014,8,Austrian Grand Prix,2014-06-22,red_bull_ring,False
2014,9,British Grand Prix,2014-07-06,silverstone,False
2014,10,German Grand Prix,2014-07-20,hockenheimring,False
2014,11,Hungarian Grand Prix,2014-07-27,hungaroring,False
2014,12,Belgian Grand Prix,2014-08-24,spa,False
2014,13,Italian Grand Prix,2014-09-07,monza,False
2014,14,Singapore Grand Prix,2014-09-21,marina_bay,False
2014,15,Japanese Grand Prix,2014-10-05,suzuka,False
2014,16,Russian Grand Prix,2014-10-12,sochi,False
2014,17,United States Grand Prix,2014-11-02,americas,False
2014,18,Brazilian Grand Prix,2014-11-09,interlagos,False
2014,19,Abu Dhabi Grand Prix,2014-11-23,yas_marina,False
2015,1,Australian Grand Prix,2015-03-15,albert_park,False
2015,2,Malaysian Grand Prix,2015-03-29,sepang,False
2015,3,Chinese Grand Prix,2015-04-12,shanghai,False
2015,4,Bahrain Grand Prix,2015-04-19,bahrain,False
2015,5,Spanish Grand Prix,2015-05-10,catalunya,False
2015,6,Monaco Grand Prix,2015-05-24,monaco,False
2015,7,Canadian Grand Prix,2015-06-07,villeneuve,False
2015,8,Austrian Grand Prix,2015-06-21,red_bull_ring,False
2015,9,British Grand Prix,2015-07-05,silverstone,False
2015,10,Hungarian Grand Prix,2015-07-26,hungaroring,False
2015,11,Belgian Grand Prix,2015-08-23,spa,False
2015,12,Italian Grand Prix,2015-09-06,monza,False
2015,13,Singapore Grand Prix,2015-09-20,marina_bay,False
2015,14,Japanese Grand Prix,2015-09-27,suzuka,False
2015,15,Russian Grand Prix,2015-10-11,sochi,False
2015,16,United States Grand Prix,2015-10-25,americas,False
2015,17,Mexican Grand Prix,2015-11-01,rodriguez,False
2015,18,Brazilian Grand Prix,2015-11-15,interlagos,False
2015,19,Abu Dhabi Grand Prix,2015-11-29,yas_marina,False
2016,1,Australian Grand Prix,2016-03-20,albert_park,False
2016,2,Bahrain Grand Prix,2016-04-03,bahrain,False
2016,3,Chinese Grand Prix,2016-04-17,shanghai,False
2016,4,Russian Grand Prix,2016-05-01,sochi,False
2016,5,Spanish Grand Prix,2016-05-15,catalunya,False
2016,6,Monaco Grand Prix,2016-05-29,monaco,False
2016,7,Canadian Grand Prix,2016-06-12,villeneuve,False
2016,8,European Grand Prix,2016-06-19,baku,False
2016,9,Austrian Grand Prix,2016-07-03,red_bull_ring,False
2016,10,British Grand Prix,2016-07-10,silverstone,False
2016,11,Hungarian Grand Prix,2016-07-24,hungaroring,False
2016,12,German Grand Prix,2016-07-31,hockenheimring,False
2016,13,Belgian Grand Prix,2016-08-28,spa,False
2016,14,Italian Grand Prix,2016-09-04,monza,False
2016,15,Singapore Grand Prix,2016-09-18,marina_bay,False
2016,16,Malaysian Grand Prix,2016-10-02,sepang,False
